cre_y;R_gdp;G_gdp;b_gdp
0.013852707;0.3633426;0.332047;0.6733066
0.030517091;0.4034626;0.3699043;0.7609506
0.011417286;0.3588749;0.3233407;0.7151364
0.057620002;0.3672569;0.3267459;0.6802506
0.032033435;0.3850673;0.3464195;0.6696852
0.0396613;0.3769436;0.3618771;0.6459882
0.06068911;0.3769156;0.3481111;0.6302466
0.050927918;0.3752261;0.343093;0.6142008
-0.001225784;0.3630613;0.3539436;0.6470159
0.075315482;0.3596213;0.3438254;0.624332
0.039730718;0.3662593;0.3388876;0.6063371
0.019241286;0.3695818;0.3473745;0.6161426
0.030091963;0.3635801;0.3483826;0.5959468
0.005008896;0.351515;0.3605153;0.6161715
-0.035491931;0.3690947;0.377622;0.7172968
-0.032726919;0.3751231;0.395199;0.7742219
0.014359862;0.3632765;0.3795222;0.8274495
0.015692793;0.3719052;0.3805743;0.8477705
0.014015588;0.3818435;0.3826712;0.8711848
-0.033425225;0.3454154;0.420774;0.9600684
0.047600753;0.3774024;0.3576171;0.8893427
0.030169652;0.3948064;0.3817383;0.8393884
0.032411622;0.3759685;0.3976446;0.8400052
0.033938883;0.3948536;0.3970472;0.8728384
